Current V 0,Current V 1,Ship 1 arrival time,Ship 1 teu,Ship 1 waiting cost,Ship 2 arrival time,Ship 2 teu,Ship 2 waiting cost,Ship 3 arrival time,Ship 3 teu,Ship 3 waiting cost,Ship 4 arrival time,Ship 4 teu,Ship 4 waiting cost,Ship 5 arrival time,Ship 5 teu,Ship 5 waiting cost,U,V 0,V 1,X 0,X 1
2,5,2.44,2988,3476,7.62,2693,3511,11.22,2333,2979,11.29,2464,3287,0,0,0,3,2,5,26.066333333333333,25.603604166666663
2,5,2.44,2988,3476,7.62,2693,3511,11.22,2333,2979,11.36,2827,3572,0,0,0,1,6,1,26.066333333333333,26.629604166666663
6,1,2.44,2988,3476,11.22,2333,2979,11.36,2827,3572,11.55,2633,3483,0,0,0,3,6,1,27.00133333333333,30.733604166666662
6,1,2.44,2988,3476,11.22,2333,2979,11.36,2827,3572,0.0,0,0,0,0,0,1,6,1,27.91633333333333,30.733604166666662
6,1,2.44,2988,3476,11.36,2827,3572,0.0,0,0,0.0,0,0,0,0,0,1,6,1,28.72633333333333,30.733604166666662
6,1,2.44,2988,3476,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,6,1,29.707999999999995,30.733604166666662
0,0,0.26,2220,4143,0.7,2986,3969,0.82,2744,3770,1.12,2282,3510,0,0,0,0,5,2,0.0,0.0
5,2,0.7,2986,3969,0.82,2744,3770,1.12,2282,3510,1.41,2054,3575,0,0,0,0,1,6,1.1840000000000002,0.0
1,6,0.82,2744,3770,1.12,2282,3510,1.41,2054,3575,1.53,2378,3418,0,0,0,2,1,6,4.88,1.7366666666666666
1,6,0.82,2744,3770,1.12,2282,3510,1.53,2378,3418,1.84,2357,3651,0,0,0,3,2,5,4.88,2.45
2,5,0.82,2744,3770,1.12,2282,3510,1.53,2378,3418,2.28,2121,3482,0,0,0,3,5,2,3.3083333333333336,3.4320000000000004
5,2,0.82,2744,3770,1.12,2282,3510,1.53,2378,3418,2.55,2334,3806,0,0,0,3,5,2,4.192333333333334,4.905
5,2,0.82,2744,3770,1.12,2282,3510,1.53,2378,3418,2.87,2178,3772,0,0,0,3,2,5,5.164333333333334,4.905
2,5,0.82,2744,3770,1.12,2282,3510,1.53,2378,3418,3.03,2542,3925,0,0,0,3,2,5,6.622333333333334,5.813000000000001
2,5,0.82,2744,3770,1.12,2282,3510,1.53,2378,3418,3.15,2928,3348,0,0,0,1,5,2,6.622333333333334,6.873000000000001
5,2,0.82,2744,3770,1.53,2378,3418,3.15,2928,3348,3.22,1215,4020,0,0,0,3,5,2,7.572333333333334,8.463000000000001
5,2,0.82,2744,3770,1.53,2378,3418,3.15,2928,3348,3.58,1712,3581,0,0,0,3,5,2,8.078333333333333,8.463000000000001
5,2,0.82,2744,3770,1.53,2378,3418,3.15,2928,3348,3.76,2483,3577,0,0,0,3,2,5,8.792333333333334,8.463000000000001
2,5,0.82,2744,3770,1.53,2378,3418,3.15,2928,3348,3.89,2470,3526,0,0,0,3,2,5,9.863333333333333,9.497000000000002
2,5,0.82,2744,3770,1.53,2378,3418,3.15,2928,3348,4.17,2756,3511,0,0,0,1,6,1,9.863333333333333,10.527000000000001
6,1,0.82,2744,3770,3.15,2928,3348,4.17,2756,3511,4.58,1379,3607,0,0,0,3,6,1,10.688333333333333,14.647000000000002
6,1,0.82,2744,3770,3.15,2928,3348,4.17,2756,3511,4.9,1032,3562,0,0,0,3,6,1,11.166666666666666,14.647000000000002
6,1,0.82,2744,3770,3.15,2928,3348,4.17,2756,3511,5.25,1066,4171,0,0,0,3,6,1,11.524999999999999,14.647000000000002
6,1,0.82,2744,3770,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,0,0,0,0,5,2,11.894999999999998,14.647000000000002
5,2,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,5.79,1262,3347,0,0,0,3,5,2,13.038999999999998,13.086
5,2,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,5.98,2465,3510,0,0,0,3,2,5,13.564999999999998,13.086
2,5,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,6.18,2673,4337,0,0,0,3,2,5,14.353999999999997,14.114
2,5,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,6.29,1286,3349,0,0,0,3,6,1,14.353999999999997,15.228000000000002
6,1,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,6.32,2150,3798,0,0,0,3,6,1,14.800666666666665,19.684
6,1,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,6.43,1743,3512,0,0,0,3,6,1,15.54733333333333,19.684
6,1,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,6.88,2659,3634,0,0,0,3,6,1,16.15233333333333,19.684
6,1,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,7.15,2181,3708,0,0,0,3,5,2,17.075666666666663,19.684
5,2,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,7.28,2662,3883,0,0,0,3,2,5,17.983666666666664,17.918166666666664
2,5,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,7.54,1971,3640,0,0,0,3,2,5,19.345666666666663,19.028166666666664
2,5,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,7.98,1425,3887,0,0,0,3,6,1,19.345666666666663,19.850166666666663
6,1,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,8.28,2025,2966,0,0,0,3,6,1,19.840666666666664,23.138166666666663
6,1,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,8.56,2523,4008,0,0,0,3,5,2,20.543999999999997,23.138166666666663
5,2,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,8.74,2368,3734,0,0,0,3,2,5,21.595999999999997,21.489416666666664
2,5,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,9.0,1539,3150,0,0,0,3,2,5,23.173999999999996,22.475416666666664
2,5,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,9.48,2275,3602,0,0,0,3,2,5,23.173999999999996,23.117416666666664
2,5,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,9.77,1568,3716,0,0,0,3,6,1,23.173999999999996,24.065416666666664
6,1,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,9.85,2226,3010,0,0,0,3,6,1,23.718999999999998,27.857416666666666
6,1,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,10.01,2083,3637,0,0,0,3,6,1,24.49233333333333,27.857416666666666
6,1,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,10.14,1009,3671,0,0,0,3,6,1,25.215666666666664,27.857416666666666
6,1,3.15,2928,3348,4.17,2756,3511,5.41,2991,3960,10.32,2272,3402,0,0,0,2,5,2,25.565666666666665,27.857416666666666
5,2,3.15,2928,3348,4.17,2756,3511,10.32,2272,3402,10.51,2304,3433,0,0,0,3,2,5,26.811666666666664,26.536541666666665
2,5,3.15,2928,3348,4.17,2756,3511,10.32,2272,3402,10.74,1732,3855,0,0,0,3,1,6,28.680666666666667,27.496541666666666
1,6,3.15,2928,3348,4.17,2756,3511,10.32,2272,3402,10.99,2135,3406,0,0,0,3,1,6,30.824791666666666,28.098208333333332
1,6,3.15,2928,3348,4.17,2756,3511,10.32,2272,3402,11.22,2061,3398,0,0,0,3,2,5,30.824791666666666,28.839875
2,5,3.15,2928,3348,4.17,2756,3511,10.32,2272,3402,11.48,1337,3471,0,0,0,3,5,2,29.4615,29.697875
5,2,3.15,2928,3348,4.17,2756,3511,10.32,2272,3402,11.68,2367,3679,0,0,0,3,5,2,30.0195,30.984875
5,2,3.15,2928,3348,4.17,2756,3511,10.32,2272,3402,11.96,2744,3767,0,0,0,3,2,5,31.0055,30.984875
2,5,3.15,2928,3348,4.17,2756,3511,10.32,2272,3402,12.5,2235,3040,0,0,0,2,2,5,32.4845,32.128875
2,5,3.15,2928,3348,4.17,2756,3511,12.5,2235,3040,0.0,0,0,0,0,0,2,6,1,32.4845,33.074875
6,1,3.15,2928,3348,4.17,2756,3511,0.0,0,0,0.0,0,0,0,0,0,1,6,1,33.26116666666666,36.858875
6,1,3.15,2928,3348,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,6,1,34.217833333333324,36.858875
0,0,0.12,1624,3782,0.76,1206,3274,1.1,1074,4440,1.51,1636,3562,0,0,0,0,5,2,0.0,0.0
5,2,0.76,1206,3274,1.1,1074,4440,1.51,1636,3562,1.7,2415,3612,0,0,0,0,1,6,0.7959999999999999,0.0
1,6,1.1,1074,4440,1.51,1636,3562,1.7,2415,3612,1.85,1936,3461,0,0,0,0,1,6,3.5,1.1783333333333332
1,6,1.51,1636,3562,1.7,2415,3612,1.85,1936,3461,2.06,2170,3547,0,0,0,0,2,5,3.5,1.5516666666666665
2,5,1.7,2415,3612,1.85,1936,3461,2.06,2170,3547,2.29,1823,3315,0,0,0,1,2,5,2.3391666666666664,2.2336666666666667
2,5,1.7,2415,3612,2.06,2170,3547,2.29,1823,3315,2.56,2399,3650,0,0,0,2,6,1,2.3391666666666664,3.0396666666666667
6,1,1.7,2415,3612,2.06,2170,3547,2.56,2399,3650,2.7,2875,3349,0,0,0,1,6,1,2.9724999999999997,6.263666666666667
6,1,1.7,2415,3612,2.56,2399,3650,2.7,2875,3349,2.99,1853,3171,0,0,0,3,6,1,3.725833333333333,6.263666666666667
6,1,1.7,2415,3612,2.56,2399,3650,2.7,2875,3349,3.21,2269,4089,0,0,0,3,5,2,4.369166666666667,6.263666666666667
5,2,1.7,2415,3612,2.56,2399,3650,2.7,2875,3349,3.34,1175,3203,0,0,0,3,2,5,5.315166666666666,4.99475
2,5,1.7,2415,3612,2.56,2399,3650,2.7,2875,3349,3.59,2193,3425,0,0,0,3,1,6,6.734166666666667,5.48475
1,6,1.7,2415,3612,2.56,2399,3650,2.7,2875,3349,3.73,3000,3036,0,0,0,1,2,5,8.473583333333334,6.246416666666667
2,5,1.7,2415,3612,2.7,2875,3349,3.73,3000,3036,3.86,2993,3733,0,0,0,0,5,2,6.979166666666667,7.246416666666667
5,2,2.7,2875,3349,3.73,3000,3036,3.86,2993,3733,4.02,2212,3415,0,0,0,3,5,2,7.985166666666667,8.746416666666667
5,2,2.7,2875,3349,3.73,3000,3036,3.86,2993,3733,4.17,2938,3501,0,0,0,2,2,5,8.907166666666667,8.746416666666667
2,5,2.7,2875,3349,3.73,3000,3036,4.17,2938,3501,4.59,2720,2968,0,0,0,2,2,5,10.290166666666668,9.994416666666666
2,5,2.7,2875,3349,3.73,3000,3036,4.59,2720,2968,4.8,2952,4310,0,0,0,3,6,1,10.290166666666668,11.218416666666666
6,1,2.7,2875,3349,3.73,3000,3036,4.59,2720,2968,5.05,2997,3756,0,0,0,3,6,1,11.315166666666668,16.114416666666667
6,1,2.7,2875,3349,3.73,3000,3036,4.59,2720,2968,5.34,2465,3739,0,0,0,3,6,1,12.355166666666669,16.114416666666667
6,1,2.7,2875,3349,3.73,3000,3036,4.59,2720,2968,5.59,1249,3327,0,0,0,3,6,1,13.211833333333336,16.114416666666667
6,1,2.7,2875,3349,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,0,0,0,0,5,2,13.64516666666667,16.114416666666667
5,2,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,6.6,2409,3353,0,0,0,3,2,5,14.84316666666667,14.663125
2,5,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,6.87,2948,3855,0,0,0,3,2,5,16.64016666666667,15.667125
2,5,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,7.1,1878,3713,0,0,0,3,5,2,16.64016666666667,16.895125
5,2,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,7.42,1752,4122,0,0,0,3,6,1,17.42216666666667,18.737125
6,1,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,7.6,2397,3527,0,0,0,3,6,1,18.030500000000004,20.834083333333332
6,1,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,8.0,1095,3656,0,0,0,3,5,2,18.86216666666667,20.834083333333332
5,2,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,8.08,2709,3366,0,0,0,3,5,2,19.31816666666667,19.432291666666668
5,2,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,8.4,2673,3560,0,0,0,3,1,6,20.44616666666667,19.432291666666668
1,6,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,8.57,2191,3658,0,0,0,3,1,6,24.95816666666667,20.360625000000002
1,6,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,8.69,2237,3837,0,0,0,3,1,6,24.95816666666667,21.120625000000004
1,6,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,8.79,2151,3672,0,0,0,3,1,6,24.95816666666667,21.89729166666667
1,6,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,9.0,2530,3342,0,0,0,3,2,5,24.95816666666667,22.643958333333337
2,5,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,9.07,2501,3414,0,0,0,3,5,2,23.42772916666667,23.697958333333336
5,2,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,9.28,2998,3887,0,0,0,3,5,2,24.46972916666667,25.278958333333335
5,2,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,9.51,1727,3085,0,0,0,3,2,5,25.71972916666667,25.278958333333335
2,5,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,9.87,1734,3728,0,0,0,3,1,6,27.59472916666667,25.998958333333334
1,6,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,10.05,2186,3202,0,0,0,3,1,6,29.910500000000006,26.600625
1,6,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,10.22,1954,3796,0,0,0,3,2,5,29.910500000000006,27.358958333333334
2,5,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,10.43,1958,3858,0,0,0,3,2,5,28.255562500000003,28.172958333333334
2,5,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,10.78,2171,3745,0,0,0,3,6,1,28.255562500000003,28.988958333333333
6,1,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,10.93,2450,3436,0,0,0,3,6,1,29.008895833333337,32.25295833333333
6,1,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,11.47,2729,3514,0,0,0,3,5,2,29.85889583333334,32.25295833333333
5,2,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,12.14,2021,3459,0,0,0,3,2,5,30.99689583333334,30.630927083333336
2,5,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,12.51,1024,3517,0,0,0,3,1,6,32.70389583333334,31.472927083333335
1,6,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,12.7,2905,3951,0,0,0,3,2,5,34.77686458333334,31.827927083333336
2,5,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,12.84,2898,3431,0,0,0,3,2,5,33.12489583333334,33.03792708333334
2,5,3.73,3000,3036,4.59,2720,2968,6.02,2933,3203,0.0,0,0,0,0,0,2,6,1,33.12489583333334,34.245927083333335
6,1,3.73,3000,3036,4.59,2720,2968,0.0,0,0,0.0,0,0,0,0,0,1,6,1,34.14322916666667,39.077927083333336
6,1,3.73,3000,3036,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,6,1,35.08822916666667,39.077927083333336
0,0,0.32,1887,3773,0.59,1566,3553,0.79,2248,3741,1.19,2076,3426,0,0,0,0,5,2,0.0,0.0
5,2,0.59,1566,3553,0.79,2248,3741,1.19,2076,3426,1.5,2474,3870,0,0,0,0,1,6,1.106,0.0
1,6,0.79,2248,3741,1.19,2076,3426,1.5,2474,3870,1.75,1206,3395,0,0,0,0,1,6,4.25,1.1333333333333333
1,6,1.19,2076,3426,1.5,2474,3870,1.75,1206,3395,1.87,2154,3454,0,0,0,2,1,6,4.25,1.913333333333333
1,6,1.19,2076,3426,1.5,2474,3870,1.87,2154,3454,2.0,1964,3857,0,0,0,3,2,5,4.25,2.3316666666666666
2,5,1.19,2076,3426,1.5,2474,3870,1.87,2154,3454,2.43,1478,3713,0,0,0,3,5,2,3.081666666666667,3.1496666666666666
5,2,1.19,2076,3426,1.5,2474,3870,1.87,2154,3454,2.63,1879,3316,0,0,0,0,5,2,3.697666666666667,4.376666666666667
5,2,1.5,2474,3870,1.87,2154,3454,2.63,1879,3316,2.9,1950,3606,0,0,0,3,2,5,4.561666666666667,4.376666666666667
2,5,1.5,2474,3870,1.87,2154,3454,2.63,1879,3316,3.23,1929,3790,0,0,0,3,2,5,5.857666666666667,5.188666666666667
2,5,1.5,2474,3870,1.87,2154,3454,2.63,1879,3316,3.63,2650,2820,0,0,0,1,5,2,5.857666666666667,5.9926666666666675
5,2,1.5,2474,3870,2.63,1879,3316,3.63,2650,2820,3.84,2278,3675,0,0,0,3,5,2,6.7556666666666665,7.198666666666667
5,2,1.5,2474,3870,2.63,1879,3316,3.63,2650,2820,4.14,2095,4031,0,0,0,3,1,6,7.705666666666667,7.198666666666667
1,6,1.5,2474,3870,2.63,1879,3316,3.63,2650,2820,4.5,1218,3795,0,0,0,3,1,6,11.505666666666666,7.925333333333334
1,6,1.5,2474,3870,2.63,1879,3316,3.63,2650,2820,4.66,2459,3731,0,0,0,1,1,6,11.505666666666666,8.348666666666666
1,6,1.5,2474,3870,3.63,2650,2820,4.66,2459,3731,5.12,2461,3380,0,0,0,0,2,5,11.505666666666666,9.000333333333334
2,5,3.63,2650,2820,4.66,2459,3731,5.12,2461,3380,5.46,1372,3288,0,0,0,3,5,2,9.927166666666666,10.030333333333333
5,2,3.63,2650,2820,4.66,2459,3731,5.12,2461,3380,5.55,1988,3437,0,0,0,3,5,2,10.499166666666666,11.575333333333333
5,2,3.63,2650,2820,4.66,2459,3731,5.12,2461,3380,5.76,2066,3438,0,0,0,1,5,2,11.327166666666665,11.575333333333333
5,2,3.63,2650,2820,5.12,2461,3380,5.76,2066,3438,5.83,2783,3445,0,0,0,2,1,6,12.351166666666664,11.575333333333333
1,6,3.63,2650,2820,5.12,2461,3380,5.83,2783,3445,6.03,2008,3895,0,0,0,3,1,6,16.447166666666664,12.292
1,6,3.63,2650,2820,5.12,2461,3380,5.83,2783,3445,6.1,1023,3453,0,0,0,3,1,6,16.447166666666664,12.988666666666667
1,6,3.63,2650,2820,5.12,2461,3380,5.83,2783,3445,6.38,1835,3214,0,0,0,3,1,6,16.447166666666664,13.343666666666667
1,6,3.63,2650,2820,5.12,2461,3380,5.83,2783,3445,6.45,1425,3391,0,0,0,3,1,6,16.447166666666664,13.980333333333334
1,6,3.63,2650,2820,5.12,2461,3380,5.83,2783,3445,6.67,2947,3579,0,0,0,1,2,5,16.447166666666664,14.475333333333333
2,5,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,6.9,1863,3620,0,0,0,3,5,2,15.21375,15.501333333333333
5,2,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,7.47,2422,3506,0,0,0,3,5,2,15.989749999999999,17.040333333333333
5,2,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,7.84,2225,3719,0,0,0,3,5,2,16.99975,17.040333333333333
5,2,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,7.95,1200,3134,0,0,0,3,1,6,17.92775,17.040333333333333
1,6,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,8.08,2159,3211,0,0,0,3,1,6,21.63975,17.457
1,6,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,8.64,1933,3072,0,0,0,3,1,6,21.63975,18.207
1,6,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,8.95,1327,3358,0,0,0,3,1,6,21.63975,18.878666666666668
1,6,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,9.15,1483,3896,0,0,0,3,2,5,21.63975,19.33866666666667
2,5,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,9.42,1272,3800,0,0,0,3,2,5,20.259208333333333,19.956666666666667
2,5,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,9.62,1859,3611,0,0,0,3,5,2,20.259208333333333,20.486666666666668
5,2,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,9.77,1711,3208,0,0,0,3,5,2,21.033208333333334,21.281666666666666
5,2,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,9.95,1924,4073,0,0,0,3,2,5,21.745208333333334,21.281666666666666
2,5,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,10.18,1486,3716,0,0,0,3,2,5,22.813208333333336,22.083666666666666
2,5,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,10.44,1825,3701,0,0,0,3,2,5,22.813208333333336,22.703666666666667
2,5,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,10.7,2770,3590,0,0,0,3,6,1,22.813208333333336,23.46366666666667
6,1,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,11.01,2425,3065,0,0,0,3,6,1,23.774875,26.503666666666668
6,1,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,11.2,1979,3968,0,0,0,3,5,2,24.616541666666667,26.503666666666668
5,2,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,11.37,2672,3457,0,0,0,3,2,5,25.440541666666668,25.139270833333335
2,5,3.63,2650,2820,5.83,2783,3445,6.67,2947,3579,11.65,2694,3605,0,0,0,3,2,5,26.676541666666665,26.253270833333335
